frame length = 200
Epoch [5], Loss: 0.1259, Train accuracy: 0.9987, Test accuracy: 0.8258, Best: 0.8258
Epoch [6], Loss: 0.0786, Train accuracy: 0.9999, Test accuracy: 0.8213, Best: 0.8258
Epoch [7], Loss: 0.0545, Train accuracy: 1.0000, Test accuracy: 0.8295, Best: 0.8295
Epoch [8], Loss: 0.0422, Train accuracy: 1.0000, Test accuracy: 0.8189, Best: 0.8295
Epoch [9], Loss: 0.0328, Train accuracy: 1.0000, Test accuracy: 0.8221, Best: 0.8295
Epoch [10], Loss: 0.0272, Train accuracy: 1.0000, Test accuracy: 0.8261, Best: 0.8295
Epoch [11], Loss: 0.0227, Train accuracy: 1.0000, Test accuracy: 0.8298, Best: 0.8298
Epoch [12], Loss: 0.0198, Train accuracy: 1.0000, Test accuracy: 0.8271, Best: 0.8298
Epoch [13], Loss: 0.0176, Train accuracy: 1.0000, Test accuracy: 0.8274, Best: 0.8298
Epoch [14], Loss: 0.0158, Train accuracy: 1.0000, Test accuracy: 0.8263, Best: 0.8298
Epoch [15], Loss: 0.0144, Train accuracy: 1.0000, Test accuracy: 0.8306, Best: 0.8306
Epoch [16], Loss: 0.0130, Train accuracy: 1.0000, Test accuracy: 0.8271, Best: 0.8306
Epoch [17], Loss: 0.0120, Train accuracy: 1.0000, Test accuracy: 0.8284, Best: 0.8306
Epoch [18], Loss: 0.0110, Train accuracy: 1.0000, Test accuracy: 0.8303, Best: 0.8306
Epoch [19], Loss: 0.0101, Train accuracy: 1.0000, Test accuracy: 0.8269, Best: 0.8306
Epoch [20], Loss: 0.0095, Train accuracy: 1.0000, Test accuracy: 0.8290, Best: 0.8306
Epoch [21], Loss: 0.0093, Train accuracy: 1.0000, Test accuracy: 0.8290, Best: 0.8306
Epoch [22], Loss: 0.0084, Train accuracy: 1.0000, Test accuracy: 0.8269, Best: 0.8306
Epoch [23], Loss: 0.0079, Train accuracy: 1.0000, Test accuracy: 0.8287, Best: 0.8306
Epoch [24], Loss: 0.0073, Train accuracy: 1.0000, Test accuracy: 0.8284, Best: 0.8306
Epoch [25], Loss: 0.0069, Train accuracy: 1.0000, Test accuracy: 0.8282, Best: 0.8306
Epoch [26], Loss: 0.0065, Train accuracy: 1.0000, Test accuracy: 0.8314, Best: 0.8314
