frame length = 200 learning rate = 1e-3
Epoch [30], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9025, Best: 0.9107
Epoch [31], Loss: 0.0000, Train accuracy: 0.9996, Test accuracy: 0.8943, Best: 0.9107
Epoch [32], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9011, Best: 0.9107
Epoch [33], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8977, Best: 0.9107
Epoch [34], Loss: 0.0000, Train accuracy: 0.9999, Test accuracy: 0.8911, Best: 0.9107
Epoch [35], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8990, Best: 0.9107
Epoch [36], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8996, Best: 0.9107
Epoch [37], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8998, Best: 0.9107
Epoch [38], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9011, Best: 0.9107
Epoch [39], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9077, Best: 0.9107
Epoch [40], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9038, Best: 0.9107
Epoch [41], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9001, Best: 0.9107
Epoch [42], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8924, Best: 0.9107
Epoch [43], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9054, Best: 0.9107
Epoch [44], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8996, Best: 0.9107
Epoch [45], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8929, Best: 0.9107
Epoch [46], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8990, Best: 0.9107
Epoch [47], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9014, Best: 0.9107
Epoch [48], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8966, Best: 0.9107
Epoch [49], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8961, Best: 0.9107
Epoch [50], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8980, Best: 0.9107
Epoch [51], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8985, Best: 0.9107
Epoch [52], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8969, Best: 0.9107
Epoch [53], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9019, Best: 0.9107
Epoch [54], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9038, Best: 0.9107
Epoch [55], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8951, Best: 0.9107
Epoch [56], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8998, Best: 0.9107
Epoch [57], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8940, Best: 0.9107
Epoch [58], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8919, Best: 0.9107
Epoch [59], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8932, Best: 0.9107
Epoch [60], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8935, Best: 0.9107
Epoch [61], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9001, Best: 0.9107
Epoch [62], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8940, Best: 0.9107
Epoch [63], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8993, Best: 0.9107
Epoch [64], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9011, Best: 0.9107
Epoch [65], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8948, Best: 0.9107
Epoch [66], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9011, Best: 0.9107
Epoch [67], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8966, Best: 0.9107
Epoch [68], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8972, Best: 0.9107
Epoch [69], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8974, Best: 0.9107
Epoch [70], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8937, Best: 0.9107
Epoch [71], Loss: 0.0000, Train accuracy: 0.9987, Test accuracy: 0.9003, Best: 0.9107
Epoch [72], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8953, Best: 0.9107
Epoch [73], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8877, Best: 0.9107
Epoch [74], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8948, Best: 0.9107
Epoch [75], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9025, Best: 0.9107
Epoch [76], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.9003, Best: 0.9107
Epoch [77], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8974, Best: 0.9107
Epoch [78], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8929, Best: 0.9107
Epoch [79], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8974, Best: 0.9107
Epoch [80], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8988, Best: 0.9107
Epoch [81], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8982, Best: 0.9107
Epoch [82], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8958, Best: 0.9107
Epoch [83], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8956, Best: 0.9107
Epoch [84], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8961, Best: 0.9107
Epoch [85], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8898, Best: 0.9107
Epoch [86], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8956, Best: 0.9107
Epoch [87], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8916, Best: 0.9107
Epoch [88], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8911, Best: 0.9107
Epoch [89], Loss: 0.0000, Train accuracy: 1.0000, Test accuracy: 0.8940, Best: 0.9107
